Title	URL	Assignees	Status	Estimated size	Real size	Labels
Add Ion-Sfu Support	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/164	zohrehasadi00	Product Backlog	3		backend, build, sprint-13, sprint-14
REFACTORING	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/180		Feature Archive			EPIC
Refacor & Test: Object Tracking	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/183	anuunchin	Feature Archive	5	3	backend, chore, sprint-13, sprint-14
Finalize Design Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/192	Tenebrae311	Feature Archive	3	3	chore, sprint-14
Update Architecture Diagrams	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/194	anuunchin	Feature Archive	3	3	chore, sprint-14
Finalize User Facing Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/191	saribx	Feature Archive	3	3	chore, sprint-14
Finalize Build Documentation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/193	zohrehasadi00	Feature Archive	3	3	chore, sprint-14
Model quantization FP16 / INT8	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/178	anuunchin	Feature Archive	3	2	backend, enhancement, sprint-12, sprint-13, technical
Create Demo Day Slide	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/196	Christoph-Mantsch, Paul2607, saribx	Feature Archive	2	2	chore, Demo Day, sprint-13
Create Demo Day Video	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/195	Christoph-Mantsch, Paul2607	Feature Archive	5	5	chore, Demo Day, sprint-13
Video Router & Dispatching Service	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/56	Tenebrae311	Feature Archive	8	8	backend, research, sprint-13, sprint-5, sprint-6
Tensor IO Binding	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/197	zohrehasadi00	Feature Archive	3	3	backend, enhancement, sprint-13, technical
Align Model Inputs	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/201	zohrehasadi00	Feature Archive	2	5	backend, sprint-13, technical
Restore Firefox support	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/238	Paul2607	Feature Archive	2	2	frontend, sprint-12, sprint-13
Top Down Radar View	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/186	Christoph-Mantsch, Paul2607	Feature Archive	5	5	enhancement, frontend, sprint-13
Minor UI Improvements	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/237	Christoph-Mantsch, saribx	Feature Archive	2	2	frontend, sprint-12
Refactor & Test: Math functions	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/181	anuunchin	Feature Archive	3	3	backend, sprint-11, sprint-12, technical
Centralized Configuration	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/173	zohrehasadi00	Feature Archive	3	2	backend, sprint-12, technical
Overlay Frame Smoothing	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/167	anuunchin	Feature Archive	5	3	backend, enhancement, frontend, sprint-10, sprint-11
Refactor & Test: Drawing logic of frontend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/182	Christoph-Mantsch, Paul2607	Feature Archive	5	5	chore, frontend, sprint-11
UI Improvements	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/168	Christoph-Mantsch, Paul2607, saribx	Feature Archive	3	5	enhancement, frontend, sprint-11
Improve depth estimation	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/166	Tenebrae311	Feature Archive	5	3	backend, enhancement, sprint-11, technical
Use `label_text` in frontend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/225	zohrehasadi00	Feature Archive	3	3	frontend, sprint-11, technical
Keep Metadata In Sync	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/117	Tenebrae311	Feature Archive	5	8	backend, bug, sprint-10, sprint-7, sprint-9
Label Mapping in Backend	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/176	zohrehasadi00	Feature Archive	3	2	backend, bug, sprint-10
Add Detection Threshold	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/170	zohrehasadi00	Feature Archive	3	3	enhancement, frontend, sprint-10
Evaluate Apple Depth Pro	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/165	saribx	Feature Archive	2	2	backend, enhancement, sprint-10
Calibration Guide	https://github.com/amosproj/amos2025ws04-robot-visual-perception/issues/184	anuunchin	Feature Archive	2	1	backend, documentation, sprint-10, sprint-9
